w_PLA_32 = (2.754447, 6.262543, -54.365561, 48.588742, -62.062292, -24.643693, -66.262433, 35.338718, -26.272835, -10.103984, 27.178796, -6.381305, -11.095483)
w_PLA_33 = (2.955928, 6.261052, -56.781340, 51.996216, -64.985500, -26.384777, -70.357442, 37.675064, -28.736391, -10.313144, 29.221901, -6.892280, -12.683461)
w_PLA_34 = (2.739512, 6.028448, -54.089416, 47.887779, -61.827164, -24.729129, -66.239871, 34.411225, -26.263793, -9.938602, 26.557256, -6.287677, -10.722602)
w_PLA_35 = (2.194778, 6.374936, -45.003053, 36.298752, -49.688150, -21.158648, -54.464856, 24.538836, -19.710153, -7.765021, 18.709630, -6.445228, -3.931278)
w_PLA_36 = (2.859043, 6.566731, -53.466835, 50.831974, -61.774682, -25.239289, -68.757199, 37.379984, -27.290117, -10.181013, 30.248335, -6.526477, -13.544399)
w_PLA_37 = (2.318283, 5.887107, -46.419264, 39.452752, -52.295972, -21.705483, -57.059709, 27.561629, -21.528118, -8.328827, 21.352675, -6.061032, -6.838279)
w_PLA_38 = (2.489054, 6.123224, -50.293820, 43.964757, -57.136317, -21.893027, -59.509261, 31.610276, -22.980135, -9.264697, 24.078043, -5.255342, -8.896045)
w_PLA_39 = (2.857035, 6.563572, -53.836535, 51.190905, -61.882202, -24.791110, -67.504767, 37.895285, -27.270327, -10.213236, 30.077642, -6.413184, -13.586258)
w_PLA_40 = (2.843749, 7.395811, -55.327498, 48.954044, -62.445244, -25.913264, -68.915272, 34.715180, -26.272926, -10.160939, 27.585603, -7.237325, -9.953490)
w_PLA_41 = (2.747168, 6.216942, -54.088826, 47.860803, -61.687746, -24.848109, -66.414105, 34.324588, -26.154861, -10.003119, 26.660402, -6.451782, -10.636144)
w_PLA_42 = (2.075847, 5.713680, -40.909136, 34.896848, -45.754294, -19.650617, -51.125030, 23.996602, -19.030191, -7.047121, 18.811206, -5.788321, -5.126974)
w_PLA_43 = (2.994704, 8.145330, -54.484627, 51.830392, -62.042255, -27.517805, -73.336124, 37.625302, -27.695297, -10.324835, 31.589254, -8.481394, -12.722212)
