w_PLA_32 = (2.116306, 6.175102, -42.178655, 35.509873, -46.977506, -20.011177, -52.170025, 24.180568, -19.029031, -7.177876, 18.868909, -5.816806, -4.320651)
w_PLA_33 = (2.857247, 6.588307, -53.767668, 51.171915, -61.750999, -24.928621, -67.595557, 38.004775, -27.308779, -10.259217, 30.111296, -6.634871, -13.553274)
w_PLA_34 = (2.079860, 5.750471, -40.977236, 34.989205, -45.813289, -19.747012, -51.317541, 24.144316, -19.047013, -7.143776, 18.968252, -5.898397, -5.267320)
w_PLA_35 = (2.328661, 6.132495, -47.303456, 39.630383, -52.975636, -21.834345, -57.222005, 27.751765, -21.405899, -8.556914, 21.207498, -6.254684, -6.435943)
w_PLA_36 = (1.408594, 4.649535, -29.294993, 24.314570, -32.406289, -12.607148, -33.859662, 16.744643, -11.961177, -5.017736, 12.576963, -3.270749, -2.115065)
w_PLA_37 = (2.869779, 7.085991, -54.783170, 50.764504, -62.461515, -25.278692, -68.330399, 37.061243, -26.932912, -10.242469, 29.375171, -6.756431, -12.091309)
w_PLA_38 = (2.788660, 6.611839, -53.077777, 49.768394, -60.956202, -24.496066, -66.720411, 36.799213, -26.390543, -10.204588, 29.310004, -6.437818, -12.894140)
w_PLA_39 = (2.264343, 6.555931, -41.732991, 39.853629, -47.017939, -20.182528, -54.223292, 29.584587, -20.476762, -8.314364, 24.508803, -6.421905, -10.329769)
w_PLA_40 = (2.535055, 6.055940, -51.130794, 43.776333, -57.876109, -23.232000, -61.721350, 30.992646, -23.801460, -9.315483, 23.687650, -6.110390, -8.392073)
w_PLA_41 = (2.319600, 5.960386, -46.707133, 39.791236, -52.365327, -21.444348, -56.484433, 28.281026, -21.411299, -8.694836, 21.766450, -6.181741, -7.630139)
w_PLA_42 = (2.321516, 5.916424, -47.768464, 39.648898, -53.482211, -21.614566, -56.772408, 27.911470, -21.408710, -8.743087, 21.035047, -6.091872, -6.751646)
w_PLA_43 = (1.911788, 6.314060, -36.134396, 32.443258, -39.933910, -17.933839, -46.883475, 23.100518, -16.668218, -6.808002, 19.111531, -6.125256, -5.747241)
w_PLA_44 = (2.083265, 5.793632, -41.372722, 35.012359, -46.084556, -19.740911, -51.233369, 24.189652, -19.027897, -7.291033, 18.876583, -5.954320, -5.251469)
w_PLA_45 = (2.194689, 6.083744, -45.504053, 36.466683, -50.385276, -21.024435, -54.321037, 24.767633, -19.843000, -7.979650, 18.677920, -6.199440, -4.368648)
w_PLA_46 = (2.739056, 6.211580, -53.823972, 47.914184, -61.204853, -24.614702, -65.497707, 34.425546, -26.175083, -9.786076, 26.400289, -6.450905, -10.369759)
w_PLA_47 = (2.287803, 6.696805, -44.646190, 38.344156, -49.855636, -21.788798, -56.972630, 26.608948, -20.527803, -8.141222, 21.589000, -6.739398, -6.350255)
w_PLA_48 = (2.397889, 4.661054, -52.188761, 43.163885, -59.546695, -20.191172, -55.845971, 30.862716, -22.852996, -9.392613, 21.422946, -3.350794, -8.140270)
w_PLA_49 = (2.750872, 6.281715, -54.755498, 48.247007, -62.392358, -24.794592, -66.388956, 34.801197, -26.144659, -10.121401, 26.644589, -6.396460, -10.444722)
w_PLA_50 = (2.523470, 6.346561, -50.244726, 43.489084, -56.911482, -23.075608, -61.615443, 30.728614, -23.372290, -9.196761, 24.011940, -6.109404, -8.387074)
w_PLA_51 = (2.531552, 5.831770, -52.903864, 43.292636, -59.616934, -23.437758, -61.831070, 30.176439, -23.789280, -9.464286, 22.251127, -5.980850, -7.187222)
w_PLA_52 = (2.238513, 8.319300, -39.219958, 37.544557, -42.856584, -21.713555, -55.729443, 27.317855, -19.160468, -7.729560, 24.068989, -8.898279, -7.713727)
w_PLA_53 = (1.922562, 6.367735, -36.181218, 32.401191, -40.080044, -18.190715, -47.564502, 22.863243, -16.703703, -6.756128, 19.153987, -6.170087, -5.620501)
w_PLA_54 = (2.526833, 5.955496, -50.319799, 43.616921, -57.109453, -23.164344, -61.504866, 30.899106, -23.848598, -9.146091, 23.847042, -6.121488, -8.662973)
w_PLA_55 = (2.755620, 6.253988, -54.812533, 48.131604, -62.357525, -24.767856, -66.238905, 34.508898, -26.220640, -9.993965, 26.387954, -6.343098, -10.287880)
w_PLA_56 = (1.927740, 6.364648, -36.574860, 32.615023, -40.524145, -18.061446, -47.443328, 22.989023, -16.740619, -6.772373, 19.084403, -5.963962, -5.495223)
w_PLA_57 = (2.779611, 6.346435, -55.644874, 48.659553, -63.147953, -24.858969, -66.476126, 34.962215, -26.407582, -10.149261, 26.493452, -6.372240, -10.282930)
w_PLA_58 = (2.851263, 7.456258, -53.970397, 50.285131, -61.666465, -25.423491, -68.994217, 36.737313, -26.367403, -10.294134, 29.800454, -6.969975, -12.002652)
w_PLA_59 = (1.913800, 6.354859, -36.162251, 32.397741, -39.852777, -17.954417, -46.829721, 23.003258, -16.655649, -6.771990, 19.033041, -6.186560, -5.717072)
w_PLA_60 = (2.545132, 6.090373, -51.367113, 43.977255, -58.288347, -23.388963, -62.292891, 31.161734, -23.875308, -9.395637, 23.898817, -6.103204, -8.399082)
w_PLA_61 = (2.534821, 6.050277, -51.409540, 43.889152, -58.185865, -23.198743, -61.701357, 31.215430, -23.785805, -9.425840, 23.714789, -6.110286, -8.437162)
w_PLA_62 = (2.749672, 6.279669, -54.114217, 48.124503, -61.788943, -24.770380, -66.390844, 34.612997, -26.160021, -9.958391, 26.808297, -6.362775, -10.560057)
w_PLA_63 = (2.917180, 6.411943, -56.753051, 51.191068, -65.100732, -26.380064, -70.580514, 36.977573, -28.096789, -10.355775, 28.692911, -6.809020, -11.625749)
w_PLA_64 = (2.090723, 5.865282, -41.713419, 35.344762, -46.448842, -19.631115, -51.111887, 24.488432, -19.030932, -7.299393, 18.921810, -5.825051, -5.122218)
w_PLA_65 = (2.091020, 5.782522, -42.157882, 35.399548, -46.711674, -19.702486, -50.882415, 24.797643, -19.163380, -7.507730, 18.795800, -6.111392, -5.316932)
w_PLA_66 = (2.529651, 5.815788, -52.774974, 43.210492, -59.444244, -23.508297, -61.853552, 30.159562, -23.806084, -9.456574, 22.251266, -6.111138, -7.255835)
w_PLA_67 = (1.907999, 6.245826, -35.915573, 32.398139, -39.893913, -17.865618, -46.930977, 22.913109, -16.695285, -6.634352, 19.050981, -5.893181, -5.566436)
w_PLA_68 = (1.909547, 6.274185, -36.009598, 32.402696, -39.755517, -17.902412, -46.683359, 23.059546, -16.716308, -6.707073, 19.015742, -6.151716, -5.736391)
w_PLA_69 = (3.001962, 8.473119, -52.981703, 51.256060, -60.174720, -28.358468, -74.503806, 37.148281, -27.788702, -10.172611, 32.124150, -9.553165, -12.913536)
w_PLA_70 = (2.333742, 6.172673, -47.194340, 39.597657, -52.908413, -21.952098, -57.575162, 27.621890, -21.423807, -8.498319, 21.285605, -6.276845, -6.428529)
w_PLA_71 = (2.724085, 6.259135, -53.803283, 47.326245, -61.152494, -24.802746, -65.960487, 33.989390, -25.885227, -10.003386, 26.324374, -6.683374, -10.441568)
w_PLA_72 = (2.892047, 7.122791, -54.237105, 51.594311, -62.332608, -25.253342, -69.144454, 38.081585, -27.105322, -10.406970, 30.842095, -6.628693, -13.562321)
w_PLA_73 = (2.884535, 7.020881, -53.905289, 51.181345, -61.982456, -25.366691, -69.236610, 37.613390, -27.106024, -10.341689, 30.645125, -6.705822, -13.538732)
w_PLA_74 = (2.728205, 6.177392, -53.922751, 47.727577, -61.457382, -24.643653, -65.881767, 34.429375, -25.998667, -10.020117, 26.564944, -6.451714, -10.689097)
w_PLA_75 = (2.754636, 6.322239, -54.449406, 48.533971, -62.144656, -24.707439, -66.418234, 35.224911, -26.206621, -10.097345, 27.109806, -6.392658, -10.901615)
w_PLA_76 = (2.547068, 6.148733, -51.170961, 43.971133, -58.011559, -23.343937, -62.134029, 31.110518, -23.850009, -9.321202, 23.923831, -6.112773, -8.372420)
w_PLA_77 = (2.895697, 7.006298, -54.713280, 51.575152, -62.856292, -25.303328, -69.139108, 37.892788, -27.203769, -10.389931, 30.427341, -6.508249, -13.162103)
w_PLA_78 = (1.962372, 6.924325, -35.505199, 33.505218, -39.350617, -18.266012, -48.228280, 24.141068, -16.792089, -6.868022, 20.858877, -6.457082, -6.646878)
w_PLA_79 = (2.937062, 6.476677, -56.436495, 51.793118, -64.497156, -26.071985, -69.789717, 37.617336, -28.320608, -10.281978, 29.223195, -6.823067, -12.474519)
w_PLA_80 = (1.916852, 6.317061, -36.570135, 32.708164, -40.425701, -17.764685, -46.692683, 23.307215, -16.648409, -6.859181, 19.089697, -5.904430, -5.708876)
w_PLA_81 = (3.125574, 9.071420, -53.683302, 53.665664, -61.118772, -29.276882, -77.314797, 39.247940, -28.781534, -10.414079, 34.538021, -10.047976, -14.387176)
w_PLA_82 = (2.087789, 5.887670, -41.198543, 35.040675, -46.057141, -19.798260, -51.590970, 23.947962, -19.030338, -7.054303, 18.850688, -5.773738, -4.780019)
w_PLA_83 = (2.308825, 5.327773, -50.323665, 39.419829, -56.564626, -21.132556, -56.058683, 26.664205, -21.503235, -8.484089, 18.656721, -4.600009, -4.334840)
w_PLA_84 = (1.909224, 6.213565, -36.143064, 32.407552, -39.983866, -17.877963, -46.754031, 22.999767, -16.708183, -6.715748, 18.955062, -6.017857, -5.724206)
w_PLA_85 = (1.978947, 7.101608, -35.846780, 33.815137, -39.680749, -18.349391, -48.583063, 24.334140, -16.801770, -6.918501, 21.053281, -6.457962, -6.576618)
w_PLA_86 = (2.856439, 6.548533, -54.836949, 50.778485, -62.860467, -25.191745, -68.071402, 37.199983, -27.280837, -10.194708, 29.104181, -6.514368, -12.352058)
w_PLA_87 = (2.281846, 6.543309, -44.190881, 38.219147, -49.422982, -21.831666, -56.848818, 26.526933, -20.742311, -7.958138, 21.492630, -6.807021, -6.330977)
w_PLA_88 = (2.109266, 5.961381, -42.221510, 35.338998, -47.033919, -20.071464, -52.106763, 24.151670, -19.160570, -7.253413, 18.721142, -5.922961, -4.561617)
w_PLA_89 = (2.868498, 7.144958, -53.409090, 51.025486, -61.400437, -25.187523, -68.824356, 37.644188, -26.803829, -10.332210, 30.777597, -6.748321, -13.569757)
